sku,brand,name,category,size,colour,material,pack_price,pack_size,quantity_variant_size_and_price,description_detailed,description_short,description_standard,meta_title,meta_description,certifications
VEG-SPC-10,Vegware,"Soup Container, 90 Series",Food Containers,,,,61.59,1000,Case (1000): £61.59 | Pack (50): £7.40,"The Vegware Soup Container, 90 Series. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 90 Series.","Vegware Soup Container, 90 Series - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 90 Series | Afida","Shop Vegware Soup Container, 90 Series. Cases of 1000. Free UK delivery over £100. Order at Afida.",
VEG-SPC-10-GN,Vegware,"Soup Container, 90 Series Green Tree",Food Containers,,,,62.85,1000,Case (1000): £62.85 | Pack (50): £8.10,"The Vegware Soup Container, 90 Series Green Tree. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 90 Series Green Tree.","Vegware Soup Container, 90 Series Green Tree - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 90 Series Green Tree | Afida","Shop Vegware Soup Container, 90 Series Green Tree. Cases of 1000. Free UK delivery over £100. Order at Afida.",
VEG-SPC,Vegware,115-Series Flat Hot Lid,Food Containers,,,Paper,48.27,500,Case (500): £48.27 | Pack (25): £5.69,The Vegware paper 115-Series Flat Hot Lid is made from responsibly sourced paper. A secure-fit lid designed for hot soup containers. Heat-resistant construction stays firm at serving temperatures. Snaps onto the container rim for a spill-resistant seal during takeaway and delivery. Certified compostable - breaks down in industrial composting facilities.,Vegware paper 115-Series Flat Hot Lid. Compostable.,"Vegware paper 115-Series Flat Hot Lid - secure-fit lid for soup containers. Heat-resistant and spill-reducing. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 115-Series Flat Hot Lid Compostable | Afida,Shop Vegware paper 115-Series Flat Hot Lid - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-12,Vegware,"Bella Pot, 96-Series",Food Containers,3oz,,PLA,123.06,1000,Case of 1000: £123.06 | Pack of 50: £13.80,"The Vegware 3oz PLA Bella Pot, 96-Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A rounded Bella pot with a premium feel, designed for desserts, deli salads, overnight oats, and premium portions. The smooth curves create an attractive presentation. Pairs with compatible lids. Certified compostable - breaks down in industrial composting facilities.","Vegware 3oz PLA Bella Pot, 96-Series. Compostable.","Vegware 3oz PLA Bella Pot, 96-Series - rounded pot for desserts, deli items, and premium portions. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Bella Pot, 96-Series 3oz Compostable | Afida","Shop Vegware 3oz PLA Bella Pot, 96-Series - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.",Compostable
VEG-DEL-HG-12,Vegware,Hinged Lid Deli Container,Food Containers,,,PLA,73.26,300,Case (300): £73.26 | Pack (50): £27.53,"The Vegware PLA Hinged Lid Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid for deli containers, keeping salads, sides, and prepared foods fresh and visible. Snaps firmly for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Hinged Lid Deli Container. Compostable.,"Vegware PLA Hinged Lid Deli Container - secure-fit lid for deli containers. Clear for content visibility. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Hinged Lid Deli Container Compostable | Afida,Shop Vegware PLA Hinged Lid Deli Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-RD-12,Vegware,Round Deli Container,Food Containers,,,PLA,72.56,500,Case (500): £72.56 | Pack (50): £11.11,"The Vegware PLA Round Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A clear deli container that showcases salads, sides, fruit, pasta, and prepared foods. The hinged lid provides a tamper-evident seal and easy one-handed opening. Stackable for efficient display on deli counters and in fridges. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Round Deli Container. Compostable.,"Vegware PLA Round Deli Container - clear deli container for salads, sides, and prepared foods. Tamper-evident. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Deli Container Compostable | Afida,Shop Vegware PLA Round Deli Container - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-SPC-12,Vegware,"Soup Container, 115 Series",Food Containers,,,,42.44,500,Case (500): £42.44 | Pack (25): £7.40,"The Vegware Soup Container, 115 Series. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 115 Series.","Vegware Soup Container, 115 Series - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 115 Series | Afida","Shop Vegware Soup Container, 115 Series. Cases of 500. Free UK delivery over £100. Order at Afida.",
VEG-SPC-12-GN,Vegware,"Soup Container, 115 Series Green Tree",Food Containers,,,,43.31,500,Case (500): £43.31 | Pack (25): £5.48,"The Vegware Soup Container, 115 Series Green Tree. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 115 Series Green Tree.","Vegware Soup Container, 115 Series Green Tree - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 115 Series Green Tree | Afida","Shop Vegware Soup Container, 115 Series Green Tree. Cases of 500. Free UK delivery over £100. Order at Afida.",
VEG-CNT-SQ-16-KR,Vegware,Square Food Container,Food Containers,,,Kraft,41.43,300,,"The Vegware kraft Square Food Container is constructed from kraft board, an unbleached paper with natural strength. A square food container that maximises storage space with flat sides and efficient stacking. Suitable for meal prep, deli counters, and takeaway. Works with compatible snap-on lids. Both compostable and recyclable, giving multiple end-of-life options. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware kraft Square Food Container. Compostable and recyclable.,"Vegware kraft Square Food Container - square food container for efficient storage and stacking. Compostable and recyclable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Square Food Container Compostable | Afida,Shop Vegware kraft Square Food Container - compostable & recyclable. Cases of 300. Free UK delivery over £100. Order at Afida.,"Compostable, Recyclable"
VEG-BWL-RD-16-BK,Vegware,Round Food Container,Food Containers,500ml,Black,,38.41,300,,"The Vegware 500ml black Round Food Container. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 500ml black Round Food Container. Compostable.,"Vegware 500ml black Round Food Container - round food container for meal prep, storage, and takeaway. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container 500ml Compostable | Afida,Shop Vegware 500ml Round Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-16,Vegware,"Bella Pot, 96-Series",Food Containers,3oz,,PLA,143.37,1000,Case of 1000: £143.37 | Pack of 50: £16.12,"The Vegware 3oz PLA Bella Pot, 96-Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A rounded Bella pot with a premium feel, designed for desserts, deli salads, overnight oats, and premium portions. The smooth curves create an attractive presentation. Pairs with compatible lids. Certified compostable - breaks down in industrial composting facilities.","Vegware 3oz PLA Bella Pot, 96-Series. Compostable.","Vegware 3oz PLA Bella Pot, 96-Series - rounded pot for desserts, deli items, and premium portions. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Bella Pot, 96-Series 3oz Compostable | Afida","Shop Vegware 3oz PLA Bella Pot, 96-Series - compostable. Cases of 1000. Free UK delivery over £100. Order at Afida.",Compostable
VEG-DEL-HG-16,Vegware,Hinged Lid Deli Container,Food Containers,,,PLA,72.99,300,Case (300): £72.99 | Pack (50): £30.48,"The Vegware PLA Hinged Lid Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid for deli containers, keeping salads, sides, and prepared foods fresh and visible. Snaps firmly for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Hinged Lid Deli Container. Compostable.,"Vegware PLA Hinged Lid Deli Container - secure-fit lid for deli containers. Clear for content visibility. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Hinged Lid Deli Container Compostable | Afida,Shop Vegware PLA Hinged Lid Deli Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-RD-16,Vegware,Round Deli Container,Food Containers,,,PLA,84.65,500,Case (500): £84.65 | Pack (50): £17.16,"The Vegware PLA Round Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A clear deli container that showcases salads, sides, fruit, pasta, and prepared foods. The hinged lid provides a tamper-evident seal and easy one-handed opening. Stackable for efficient display on deli counters and in fridges. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Round Deli Container. Compostable.,"Vegware PLA Round Deli Container - clear deli container for salads, sides, and prepared foods. Tamper-evident. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Deli Container Compostable | Afida,Shop Vegware PLA Round Deli Container - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CNT-RC-16-BK,Vegware,Rectangular Food Container,Food Containers,,Black,,41.43,300,,"The Vegware black Rectangular Food Container. A rectangular food container that accommodates baguettes, wraps, kebabs, and longer food items. The elongated shape provides an efficient fit. Works with compatible lids. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware black Rectangular Food Container. Compostable.,"Vegware black Rectangular Food Container - rectangular container for baguettes, wraps, and long items. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Rectangular Food Container Compostable | Afida,Shop Vegware Rectangular Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-SPC-16-2,Vegware,"Soup Container, 115 Series",Food Containers,,,,47.61,500,Case (500): £47.61 | Pack (25): £6.33,"The Vegware Soup Container, 115 Series. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 115 Series.","Vegware Soup Container, 115 Series - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 115 Series | Afida","Shop Vegware Soup Container, 115 Series. Cases of 500. Free UK delivery over £100. Order at Afida.",
VEG-SPC-16-GN,Vegware,"Soup Container, 115 Series Green Tree",Food Containers,,,,48.59,500,Case (500): £48.59 | Pack (25): £6.33,"The Vegware Soup Container, 115 Series Green Tree. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 115 Series Green Tree.","Vegware Soup Container, 115 Series Green Tree - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 115 Series Green Tree | Afida","Shop Vegware Soup Container, 115 Series Green Tree. Cases of 500. Free UK delivery over £100. Order at Afida.",
VEG-BWL-RD-16-KR,Vegware,Round Food Container,Food Containers,16oz,,Kraft,38.41,300,,"The Vegware 16oz kraft Round Food Container is constructed from kraft board, an unbleached paper with natural strength. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Fully recyclable through standard paper or plastic recycling streams. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 16oz kraft Round Food Container. Recyclable.,"Vegware 16oz kraft Round Food Container - round food container for meal prep, storage, and takeaway. Recyclable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container 16oz Recyclable | Afida,Shop Vegware 16oz kraft Round Food Container - recyclable. Cases of 300. Free UK delivery over £100. Order at Afida.,Recyclable
VEG-DEL-FL-32,Vegware,185-Series Flat Lid,Food Containers,,,PLA,59.76,300,Case of 300: £59.76 | Pack of 75: £30.54,"The Vegware PLA 185-Series Flat Lid is lined with PLA, a plant-based bioplastic derived from cornstarch. A lid designed for food bowls that provides a secure fit while venting steam to prevent condensation and sogginess. Keeps contents fresh during transport and display. Certified compostable - breaks down in industrial composting facilities.",Vegware PLA 185-Series Flat Lid. Compostable.,"Vegware PLA 185-Series Flat Lid - secure-fit lid for food bowls. Vented to release steam. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 185-Series Flat Lid Compostable | Afida,Shop Vegware PLA 185-Series Flat Lid - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-POT-1-KR-2,Vegware,Portion Pot,Food Containers,1oz,,Kraft,46.69,2000,,"The Vegware 1oz kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 1oz kraft Portion Pot. Compostable.,"Vegware 1oz kraft Portion Pot - small pot for sauces, dressings, and condiments. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Portion Pot 1oz Compostable | Afida,Shop Vegware 1oz kraft Portion Pot - compostable. Cases of 2000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-POT-1-KR,Vegware,Portion Pot Lid,Food Containers,5oz,,Kraft,33.65,2000,,"The Vegware 5oz kraft Portion Pot Lid is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 5oz kraft Portion Pot Lid. Compostable.,"Vegware 5oz kraft Portion Pot Lid - secure-fit lid for portion pots. Clear for easy content identification. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Portion Pot Lid 5oz Compostable | Afida,Shop Vegware 5oz kraft Portion Pot Lid - compostable. Cases of 2000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-POT-1-3,Vegware,Cold Portion Pot,Food Containers,,,PLA,98.31,5000,Case (5000): £98.31 | Pack (100): £4.39,"The Vegware PLA Cold Portion Pot is lined with PLA, a plant-based bioplastic derived from cornstarch. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Cold Portion Pot.,"Vegware PLA Cold Portion Pot - small pot for sauces, dressings, and condiments. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Cold Portion Pot Pla | Afida,Shop Vegware PLA Cold Portion Pot. Cases of 5000. Free UK delivery over £100. Order at Afida.,
VEG-POT-5-KR-2,Vegware,Portion Pot,Food Containers,5oz,,Kraft,59.36,2000,,"The Vegware 5oz kraft Portion Pot is constructed from kraft board, an unbleached paper with natural strength. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 5oz kraft Portion Pot. Compostable.,"Vegware 5oz kraft Portion Pot - small pot for sauces, dressings, and condiments. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Portion Pot 5oz Compostable | Afida,Shop Vegware 5oz kraft Portion Pot - compostable. Cases of 2000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-POT-5-KR,Vegware,Portion Pot Lid,Food Containers,5oz,,Kraft,41.39,2000,,"The Vegware 5oz kraft Portion Pot Lid is constructed from kraft board, an unbleached paper with natural strength. A secure-fit lid that snaps onto compatible portion pots, keeping sauces, dressings, and condiments contained. Clear construction allows easy identification of contents without opening. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 5oz kraft Portion Pot Lid. Compostable.,"Vegware 5oz kraft Portion Pot Lid - secure-fit lid for portion pots. Clear for easy content identification. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Portion Pot Lid 5oz Compostable | Afida,Shop Vegware 5oz kraft Portion Pot Lid - compostable. Cases of 2000. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BOX-22,Vegware,Medium Window Salad Box,Food Containers,,,,83.49,300,,"The Vegware Medium Window Salad Box. A salad box with a clear window that showcases fresh contents - salads, wraps, grain bowls, and prepared meals. The window boosts product visibility for grab-and-go display. Stackable and sturdy. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Medium Window Salad Box. Compostable.,"Vegware Medium Window Salad Box - window salad box for fresh, visible food presentation. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Medium Window Salad Box Compostable | Afida,Shop Vegware Medium Window Salad Box - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CNT-SQ-24-KR,Vegware,Square Food Container,Food Containers,,,Kraft,45.14,300,,"The Vegware kraft Square Food Container is constructed from kraft board, an unbleached paper with natural strength. A square food container that maximises storage space with flat sides and efficient stacking. Suitable for meal prep, deli counters, and takeaway. Works with compatible snap-on lids. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware kraft Square Food Container. Compostable.,"Vegware kraft Square Food Container - square food container for efficient storage and stacking. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Square Food Container Compostable | Afida,Shop Vegware kraft Square Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-BW-24,Vegware,"Food Bowl, 185-Series",Food Containers,,,PLA,75.75,300,Case of 300: £75.75 | Pack of 75: £37.32,"The Vegware PLA Food Bowl, 185-Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware PLA Food Bowl, 185-Series. Compostable.","Vegware PLA Food Bowl, 185-Series - versatile food bowl for hot and cold dishes. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Food Bowl, 185-Series Compostable | Afida","Shop Vegware PLA Food Bowl, 185-Series - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.",Compostable
VEG-DEL-HG-24,Vegware,Hinged Lid Deli Container,Food Containers,,,PLA,76.35,200,Case (200): £76.35 | Pack (50): £43.14,"The Vegware PLA Hinged Lid Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A secure-fit lid for deli containers, keeping salads, sides, and prepared foods fresh and visible. Snaps firmly for leak-resistant sealing. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Hinged Lid Deli Container. Compostable.,"Vegware PLA Hinged Lid Deli Container - secure-fit lid for deli containers. Clear for content visibility. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Hinged Lid Deli Container Compostable | Afida,Shop Vegware PLA Hinged Lid Deli Container - compostable. Cases of 200. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-RD-24,Vegware,Round Deli Container,Food Containers,,,PLA,98.99,500,Case (500): £98.99 | Pack (50): £20.02,"The Vegware PLA Round Deli Container is lined with PLA, a plant-based bioplastic derived from cornstarch. A clear deli container that showcases salads, sides, fruit, pasta, and prepared foods. The hinged lid provides a tamper-evident seal and easy one-handed opening. Stackable for efficient display on deli counters and in fridges. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Round Deli Container. Compostable.,"Vegware PLA Round Deli Container - clear deli container for salads, sides, and prepared foods. Tamper-evident. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Deli Container Compostable | Afida,Shop Vegware PLA Round Deli Container - compostable. Cases of 500. Free UK delivery over £100. Order at Afida.,Compostable
VEG-CNT-RC-24-BK,Vegware,Rectangular Food Container,Food Containers,,Black,,45.14,300,,"The Vegware black Rectangular Food Container. A rectangular food container that accommodates baguettes, wraps, kebabs, and longer food items. The elongated shape provides an efficient fit. Works with compatible lids. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware black Rectangular Food Container. Compostable.,"Vegware black Rectangular Food Container - rectangular container for baguettes, wraps, and long items. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Rectangular Food Container Compostable | Afida,Shop Vegware Rectangular Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-RD-24-BK,Vegware,Round Food Container,Food Containers,,Black,,43.31,300,,"The Vegware black Round Food Container. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware black Round Food Container. Compostable.,"Vegware black Round Food Container - round food container for meal prep, storage, and takeaway. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container Compostable | Afida,Shop Vegware Round Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-SPC-24-GN,Vegware,"Soup Container, 115 Series Green Tree",Food Containers,,,,51.58,500,Case (500): £51.58 | Pack (25): £6.83,"The Vegware Soup Container, 115 Series Green Tree. A leak-resistant food container designed for soups, stews, porridge, chilli, and other hot liquids. The lined interior provides a reliable barrier against grease and moisture. Pairs with compatible lids for a secure, spill-resistant seal.","Vegware Soup Container, 115 Series Green Tree.","Vegware Soup Container, 115 Series Green Tree - leak-resistant container for soups, stews, and hot foods. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Soup Container, 115 Series Green Tree | Afida","Shop Vegware Soup Container, 115 Series Green Tree. Cases of 500. Free UK delivery over £100. Order at Afida.",
VEG-BWL-RD-24-KR,Vegware,Round Food Container,Food Containers,24oz,,Kraft,43.31,300,,"The Vegware 24oz kraft Round Food Container is constructed from kraft board, an unbleached paper with natural strength. A round food container suitable for meal prep, storage, and takeaway. The round shape is easy to eat from and fits standard microwave turntables. Works with compatible snap-on lids for sealed storage. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware 24oz kraft Round Food Container. Compostable.,"Vegware 24oz kraft Round Food Container - round food container for meal prep, storage, and takeaway. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Round Food Container 24oz Compostable | Afida,Shop Vegware 24oz kraft Round Food Container - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-BWL-BW-26-KR,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,Kraft,65.82,300,,"The Vegware kraft Lined Food Bowl, 185 Series is constructed from kraft board, an unbleached paper with natural strength. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware kraft Lined Food Bowl, 185 Series.","Vegware kraft Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Kraft | Afida","Shop Vegware kraft Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
VEG-BWL-BW-26,Vegware,"Lined Food Bowl, 185 Series",Food Containers,,,PLA,65.82,300,Case (300): £65.82 | Pack (50): £22.94,"The Vegware PLA Lined Food Bowl, 185 Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware PLA Lined Food Bowl, 185 Series.","Vegware PLA Lined Food Bowl, 185 Series - versatile food bowl for hot and cold dishes. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Lined Food Bowl, 185 Series Pla | Afida","Shop Vegware PLA Lined Food Bowl, 185 Series. Cases of 300. Free UK delivery over £100. Order at Afida.",
VEG-POT-2-4,Vegware,Cold Portion Pot,Food Containers,,,PLA,61.67,2000,Case (2000): £61.67 | Pack (100): £6.46,"The Vegware PLA Cold Portion Pot is lined with PLA, a plant-based bioplastic derived from cornstarch. A small portion pot for sauces, dressings, condiments, dips, and sample portions. Compact and stackable for efficient storage. Works with compatible snap-on lids for leak-resistant sealing. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware PLA Cold Portion Pot.,"Vegware PLA Cold Portion Pot - small pot for sauces, dressings, and condiments. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Cold Portion Pot Pla | Afida,Shop Vegware PLA Cold Portion Pot. Cases of 2000. Free UK delivery over £100. Order at Afida.,
VEG-BOX-32,Vegware,Large Window Salad Box,Food Containers,,,,109.25,300,,"The Vegware Large Window Salad Box. A salad box with a clear window that showcases fresh contents - salads, wraps, grain bowls, and prepared meals. The window boosts product visibility for grab-and-go display. Stackable and sturdy. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Large Window Salad Box. Compostable.,"Vegware Large Window Salad Box - window salad box for fresh, visible food presentation. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.",Vegware Large Window Salad Box Compostable | Afida,Shop Vegware Large Window Salad Box - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.,Compostable
VEG-DEL-BW-32,Vegware,"Food Bowl, 185-Series",Food Containers,,,PLA,84.91,300,Case of 300: £84.91 | Pack of 75: £41.52,"The Vegware PLA Food Bowl, 185-Series is lined with PLA, a plant-based bioplastic derived from cornstarch. A versatile food bowl suitable for hot and cold dishes - soups, salads, noodles, rice bowls, and stews. Sturdy construction and grease-resistant lining. Pairs with compatible lids for sealed takeaway and delivery. Certified compostable - breaks down in industrial composting facilities. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware PLA Food Bowl, 185-Series. Compostable.","Vegware PLA Food Bowl, 185-Series - versatile food bowl for hot and cold dishes. Compostable. Versatile enough for takeaways, delis, cafés, meal prep, and event catering.","Vegware Food Bowl, 185-Series Compostable | Afida","Shop Vegware PLA Food Bowl, 185-Series - compostable. Cases of 300. Free UK delivery over £100. Order at Afida.",Compostable
