sku,description_short,description_standard,description_detailed
75MLRKB,"750ml round kraft bowls. Standard biodegradable containers for salads, poke bowls, and grain bowls.","750ml round kraft salad bowls for standard portions. Biodegradable construction handles salads, poke bowls, and hot foods. Leak-proof lining keeps dressings secure. Most popular size for individual servings. Pack of 300.","These 750ml round bowls are the most popular size for individual salads and grain bowls. The versatile capacity accommodates standard salad portions, poke bowls, and grain-based meals perfectly. Made from biodegradable kraft board that breaks down naturally while providing reliable leak-proof performance. The sturdy construction handles both hot and cold foods with confidence. The round shape creates attractive presentation that suits modern healthy eating trends. Available with clear lids for grab-and-go service. Perfect for salad bars, poke restaurants, and healthy eating outlets. The natural kraft finish appeals to eco-conscious customers. Pack of 300 bowls."
16LIDSOUPCK,"Kraft paper lids for 16oz soup containers. Secure vented seal for hot foods and delivery.","Kraft paper lids for 16oz soup containers. The vented design allows steam to escape while the secure rim seal keeps soups safe during transport. Eco-friendly kraft construction is recyclable and compostable. Pack of 500.","These kraft soup lids pair perfectly with our 16oz paper soup containers. The vented design allows steam to escape, preventing condensation build-up and soggy lids during transport. The secure rim seal keeps hot soups, stews, and porridge safe during delivery and collection. Made from sustainable kraft paper, these lids are fully recyclable and commercially compostable - completing your eco-friendly takeaway presentation. The natural kraft finish matches our soup containers for cohesive presentation. Perfect for cafes, delis, food halls, and anywhere serving large portions of hot soup to go. Pack of 500 lids."
8LIDSOUPCK,"Kraft paper lids for 8oz and 12oz soup containers. Secure vented seal for hot foods and delivery.","Kraft paper lids for 8oz and 12oz soup containers. The vented design allows steam to escape while the secure rim seal keeps soups safe during transport. Eco-friendly kraft construction is recyclable and compostable. Pack of 500.","These kraft soup lids pair perfectly with our 8oz and 12oz paper soup containers. The vented design allows steam to escape, preventing condensation build-up and soggy lids during transport. The secure rim seal keeps hot soups, stews, and porridge safe during delivery and collection. Made from sustainable kraft paper, these lids are fully recyclable and commercially compostable - completing your eco-friendly takeaway presentation. One lid fits both 8oz and 12oz containers, simplifying stock management. Perfect for cafes, delis, food halls, and anywhere serving hot soup to go. Pack of 500 lids."
12SOUPCK,"12oz kraft soup containers. Standard size biodegradable pots for hot soups and stews.","12oz kraft paper soup containers for standard soup portions. Heavy-duty construction handles hot soups, stews, and porridge without leaking. Biodegradable and eco-friendly. Pairs with our kraft soup lids. Pack of 500.","These 12oz soup containers are built for standard soup portions. The heavy-duty kraft construction handles steaming soups, hearty stews, porridge, and chilli without leaking or losing heat. The 340ml capacity suits most individual soup servings perfectly. Made from biodegradable kraft paper that supports your sustainability goals. Each container pairs with our kraft lids for secure transport. The natural kraft finish appeals to eco-conscious customers while the sturdy construction ensures reliable performance. Perfect for cafes, delis, food trucks, and delivery kitchens serving hot foods. Pack of 500 containers for busy takeaway operations."
16SOUPCK,"16oz kraft soup containers. Large size biodegradable pots for generous soups and stews.","16oz kraft paper soup containers for large soup portions. Heavy-duty construction handles hot soups, stews, and porridge without leaking. Biodegradable and eco-friendly. Pairs with our kraft soup lids. Pack of 500.","These 16oz soup containers are built for generous soup portions. The heavy-duty kraft construction handles steaming soups, hearty stews, porridge, and chilli without leaking or losing heat. The large 453ml capacity suits big appetites and customers wanting substantial meals. Made from biodegradable kraft paper that supports your sustainability goals. Each container pairs with our kraft lids for secure transport. The natural kraft finish appeals to eco-conscious customers while the sturdy construction ensures reliable performance. Perfect for cafes, delis, food trucks, and delivery kitchens serving large portions. Pack of 500 containers."
8SOUPCK,"8oz kraft soup containers. Small size biodegradable pots for sides and sample portions.","8oz kraft paper soup containers for small soup portions and sides. Heavy-duty construction handles hot soups and stews without leaking. Biodegradable and eco-friendly. Pairs with our kraft soup lids. Pack of 500.","These 8oz soup containers are perfect for small portions and sides. The heavy-duty kraft construction handles steaming soups, stews, and porridge without leaking or losing heat. The compact 227ml capacity suits side soups, taster portions, and accompaniments. Made from biodegradable kraft paper that supports your sustainability goals. Each container pairs with our kraft lids for secure transport. The natural kraft finish appeals to eco-conscious customers. Perfect for cafes offering soup-and-sandwich deals, taster menus, and delivery operations where portion control matters. Pack of 500 containers for busy takeaway operations."
NO1KDV,"No.1 kraft takeaway boxes (755ml). Compact compostable deli boxes for sides and small portions.","No.1 (755ml/26oz) kraft takeaway boxes for small portions and sides. Compostable deli box design handles hot and cold foods. Leak-proof construction with secure fold-over lid. Vegware certified. Pack of 450.","These No.1 kraft boxes are perfect for sides and smaller portions. The 755ml capacity suits rice portions, side dishes, and light meals. The sturdy kraft construction handles hot curries, noodle dishes, and cold salads without leaking. The fold-over lid locks securely for transport. Made from certified compostable materials that break down in commercial composting facilities. The natural kraft finish appeals to eco-conscious customers while signalling your sustainability values. Vegware certified for genuine eco credentials. Perfect for restaurants, dark kitchens, and delivery services. Pack of 450 boxes for high-volume takeaway operations."
NO3KDV,"No.3 kraft takeaway boxes (1900ml). Extra large compostable deli boxes for sharing portions.","No.3 (1900ml/69oz) kraft takeaway boxes for sharing portions. Extra large compostable deli box handles hot and cold foods. Leak-proof construction with secure fold-over lid. Vegware certified. Pack of 200.","These No.3 kraft boxes accommodate extra large sharing portions. The generous 1900ml capacity suits family meals, sharing platters, and large orders. The extra sturdy kraft construction handles hot curries, generous noodle servings, and loaded salads without leaking or losing shape. The fold-over lid locks securely for transport. Made from certified compostable materials that break down in commercial composting facilities. The natural kraft finish appeals to eco-conscious customers. Vegware certified for genuine eco credentials. Perfect for restaurants offering family portions and sharing dishes. Pack of 200 boxes."
NO8KDV,"No.8 kraft takeaway boxes (1300ml). Large compostable deli boxes for main course portions.","No.8 (1300ml/49oz) kraft takeaway boxes for standard main portions. Large compostable deli box handles hot and cold foods. Leak-proof construction with secure fold-over lid. Vegware certified. Pack of 300.","These No.8 kraft boxes suit standard main course portions perfectly. The 1300ml capacity accommodates curries with rice, noodle dishes, and generous salads. The sturdy kraft construction handles hot and cold foods without leaking or losing shape. The fold-over lid locks securely for transport. Made from certified compostable materials that break down in commercial composting facilities. The natural kraft finish appeals to eco-conscious customers while signalling your sustainability values. Vegware certified for genuine eco credentials. Perfect for restaurants, dark kitchens, and delivery services. Pack of 300 boxes for busy takeaway operations."
WCS14,"140mm wooden coffee stirrers. Short birchwood stirrers for espresso and small cups - biodegradable.","140mm wooden coffee stirrers made from sustainable birchwood. Compact size perfect for espresso cups and small drinks. Smooth finish without splinters. Fully biodegradable and compostable. Pack of 10000.","These 140mm wooden stirrers are designed for espresso cups and small drink sizes. Made from FSC-certified birchwood, each stirrer features a smooth finish that won't splinter or leave residue in drinks. The compact 140mm length fits 4-8oz cups without protruding awkwardly. The natural wood is fully biodegradable and commercially compostable, breaking down naturally after disposal. Perfect for espresso bars, coffee shops, and offices replacing plastic stirrers. The large pack of 10000 stirrers suits high-volume operations. Eco-friendly alternative that customers recognise and appreciate."
WCS18,"180mm wooden coffee stirrers. Standard birchwood stirrers for regular coffee cups - biodegradable.","180mm wooden coffee stirrers made from sustainable birchwood. Standard size for regular coffee cups and travel mugs. Smooth finish without splinters. Fully biodegradable and compostable. Pack of 10000.","These 180mm wooden stirrers are designed for standard coffee cups and travel mugs. Made from FSC-certified birchwood, each stirrer features a smooth finish that won't splinter or leave residue in drinks. The 180mm length suits 12-16oz cups and tall travel mugs, reaching the bottom for proper stirring. The natural wood is fully biodegradable and commercially compostable, breaking down naturally after disposal. Perfect for cafes, coffee shops, and offices replacing plastic stirrers. The large pack of 10000 stirrers suits high-volume operations. Eco-friendly alternative that customers appreciate."
WFKPNK,"Wooden cutlery kit with fork, knife, and napkin. Complete compostable meal set for takeaway service.","Wooden cutlery kit containing fork, knife, and paper napkin. Complete meal set for takeaway and delivery. Made from sustainable birchwood. Fully biodegradable and compostable. Convenient for grab-and-go service. Pack of 250.","These cutlery kits provide complete meal service in one convenient package. Each kit contains a wooden fork, knife, and paper napkin - everything customers need for takeaway meals. Made from sustainable birchwood with a smooth, splinter-free finish. The 160mm cutlery handles everything from salads to main courses confidently. The included napkin completes the package. 100% biodegradable and commercially compostable. Perfect for food trucks, delivery services, outdoor events, and any operation where convenient individual meal sets save time. Eliminates the hassle of assembling separate components. Pack of 250 complete kits."
WCFRK,"160mm wooden forks. Compostable birchwood forks for eco-friendly catering and takeaway service.","160mm wooden forks made from sustainable birchwood. Sturdy tines handle salads and main courses. Smooth finish without splinters. Fully biodegradable and compostable. Pack of 1000.","These wooden forks offer sustainable alternative to plastic disposables. Made from natural birchwood, each fork features sturdy tines and a smooth, splinter-free finish. The 160mm length provides comfortable grip while handling salads, pasta, and main course dishes confidently. 100% biodegradable and commercially compostable, breaking down naturally after disposal. Perfect for food trucks, outdoor events, workplace canteens, and eco-conscious catering. Customers increasingly expect sustainable alternatives, and wooden cutlery delivers on that expectation. Pack of 1000 forks for high-volume operations."
WCKNF,"160mm wooden knives. Compostable birchwood knives for eco-friendly catering and takeaway service.","160mm wooden knives made from sustainable birchwood. Smooth cutting edge handles most foods. Splinter-free finish for comfortable use. Fully biodegradable and compostable. Pack of 1000.","These wooden knives offer sustainable alternative to plastic disposables. Made from natural birchwood, each knife features a smooth cutting edge and splinter-free finish. The 160mm length provides comfortable grip for cutting through most takeaway foods. 100% biodegradable and commercially compostable, breaking down naturally after disposal. Works well paired with our wooden forks for complete eco-friendly meal service. Perfect for food trucks, outdoor events, workplace canteens, and eco-conscious catering. Customers increasingly expect sustainable alternatives. Pack of 1000 knives for high-volume operations."
WCSPN,"160mm wooden spoons. Compostable birchwood spoons for soups, desserts, and yoghurt.","160mm wooden spoons made from sustainable birchwood. Deep bowl handles soups, desserts, and yoghurt. Smooth finish without splinters. Fully biodegradable and compostable. Pack of 1000.","These wooden spoons offer sustainable alternative to plastic disposables. Made from natural birchwood, each spoon features a properly shaped bowl and smooth, splinter-free finish. The 160mm length and deep bowl handle soups, desserts, ice cream, and yoghurt pots effectively. 100% biodegradable and commercially compostable, breaking down naturally after disposal. Perfect for soup counters, dessert shops, frozen yogurt bars, and eco-conscious catering. Customers increasingly expect sustainable alternatives for dessert and soup service. Pack of 1000 spoons for high-volume operations."
RCC2C,"2-cup drink carriers. Pulp fibre trays for secure takeaway drink transport - recyclable.","2-cup pulp fibre drink carriers for takeaway and delivery. Secure grip prevents cup tipping and spills. Fits 8oz to 16oz cups. Made from moulded pulp, fully recyclable. Pack of 360.","These 2-cup carriers make drink transport safe and simple for small orders. Made from moulded pulp fibre, they grip cups securely to prevent tipping and spills - essential for delivery riders and walk-out customers. The sturdy construction handles both hot coffees and cold drinks confidently. The 2-cup size suits small orders, couples, and quick collections. Fits standard takeaway cups from 8oz to 16oz. The natural pulp material is fully recyclable and signals eco-friendly values. Flat-packed for efficient storage behind the counter. Ideal for coffee shops, cafes, and any business with takeaway drinks. Pack of 360 carriers."
RCC4C,"4-cup drink carriers. Pulp fibre trays for secure takeaway drink transport - recyclable.","4-cup pulp fibre drink carriers for takeaway and delivery. Secure grip prevents cup tipping and spills. Fits 8oz to 16oz cups. Made from moulded pulp, fully recyclable. Pack of 180.","These 4-cup carriers make drink transport safe for larger orders. Made from moulded pulp fibre, they grip cups securely to prevent tipping and spills - essential for delivery riders and office runs. The sturdy construction handles both hot coffees and cold drinks confidently. The 4-cup size suits group orders, office deliveries, and family collections. Fits standard takeaway cups from 8oz to 16oz. The natural pulp material is fully recyclable and signals eco-friendly values. Flat-packed for efficient storage. Ideal for coffee shops, delivery platforms, and any business handling multi-drink orders. Pack of 180 carriers."
LRKTB,"Large kraft flat handle bags. Sturdy paper carrier bags for big takeaway orders and retail.","Large kraft paper bags with flat twisted handles for big orders. Sturdy construction holds heavy takeaway meals and retail items. Natural brown kraft finish looks professional. Recyclable. Pack of 250.","These large kraft bags handle big orders confidently. The flat twisted handles sit comfortably in hands even with heavier loads. Sturdy kraft paper construction holds large takeaway meals, retail purchases, and gift items without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Large size accommodates family meal orders, multiple items, and bigger retail purchases. Recyclable and made from sustainable materials. Ideal for restaurants serving group orders, retail shops, and bakeries with larger item sales. Pack of 250 bags."
MKTB,"Medium kraft flat handle bags. Sturdy paper carrier bags for standard takeaway orders.","Medium kraft paper bags with flat twisted handles for standard orders. Sturdy construction holds typical takeaway meals securely. Natural brown kraft finish looks professional. Recyclable. Pack of 250.","These medium kraft bags suit standard takeaway orders perfectly. The flat twisted handles provide comfortable carrying while sturdy kraft paper construction holds typical meals without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Medium size accommodates most individual takeaway orders, lunch portions, and standard retail items. Recyclable and made from sustainable materials. Ideal for cafes, delis, restaurants, bakeries, and retail shops. The most versatile size for everyday operations. Pack of 250 bags."
SKTB,"Small kraft flat handle bags. Sturdy paper carrier bags for snacks and small items.","Small kraft paper bags with flat twisted handles for smaller items. Sturdy construction holds snacks, pastries, and small purchases. Natural brown kraft finish looks professional. Recyclable. Pack of 250.","These small kraft bags are perfect for snacks and smaller items. The flat twisted handles provide easy carrying while sturdy kraft paper construction protects contents without tearing. The natural brown finish signals eco-friendly values and works well with stamps, stickers, or branded labels. Small size suits pastries, sandwiches, snack items, and small retail purchases. Recyclable and made from sustainable materials. Ideal for bakeries, coffee shops, delis, and boutique retail. Perfect for grab-and-go items where larger bags would be wasteful. Pack of 250 bags."
TWBGBSM,"Small black twisted handle bags. Stylish paper carrier bags for boutique takeaway and retail.","Small black paper bags with twisted handles for stylish presentation. Premium look for boutiques, upscale cafes, and gift packaging. Sturdy construction holds items securely. Recyclable. Pack of 300.","These black paper bags deliver premium presentation for businesses that care about style. The comfortable twisted paper handles make carrying easy while sturdy construction holds items securely. The sophisticated black finish creates upscale appeal perfect for boutique shops, premium cafes, gift packaging, and special occasions. Small size suits pastries, coffee accompaniments, small gifts, and boutique retail. Made from eco-friendly paper that's fully recyclable. The elegant design demonstrates quality while practical functionality ensures reliable performance. Ideal for venues where presentation matters as much as sustainability. Pack of 300 bags."
