keyword,volume,keyword_difficulty,n_competitors_ranking,best_competitor,best_competitor_position,best_competitor_url,cluster,bucket,target
kraft burger box,150,0,1,greenpak.supplies,3,https://greenpak.supplies/product/premium-kraft-burger-box/,burger-boxes,2,(new page) burger boxes
12oz ripple cups,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/12oz-kraft-ripple-cup/,skip-generic-size,skip,
hot dog trays,150,0,1,greenpak.supplies,2,https://greenpak.supplies/category/hot-food-packaging/hotdog-trays/,skip-non-range,skip,
chip tray,150,0,1,greenpak.supplies,10,https://greenpak.supplies/product/compostable-kraft-chip-tray/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
sos bags,150,0,1,greenpak.supplies,7,https://greenpak.supplies/product/extra-large-kraft-sos-paper-carrier-bag/,paper-bags,1,/categories/bags-and-wraps/bags
kraft salad bowls,150,0,1,greenpak.supplies,5,https://greenpak.supplies/product/500ml-kraft-bowl/,bowls,1,/categories/food-containers/bowls-and-lids
single wall cups,150,0,1,greenpak.supplies,6,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
takeaway supplies,150,0,1,greenpak.supplies,6,https://greenpak.supplies/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
kids meal boxes,150,0,1,greenpak.supplies,2,https://greenpak.supplies/product/jungle-childrens-meal-boxes/,skip-non-range,skip,
fish and chips boxes,150,0,1,greenpak.supplies,4,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
airlaid napkins,150,0,1,greenpak.supplies,9,https://greenpak.supplies/product/40cm-white-airlaid-8-fold-dinner-napkin/,napkins,1,/categories/tableware/napkins
disposable hot drink cups,150,0,1,greenpak.supplies,12,https://greenpak.supplies/category/cups-accessories/hot-drink-paper-cups/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
10oz cup,150,0,1,greenpak.supplies,10,https://greenpak.supplies/product/10oz-green-effect-double-wall-hot-drink-cup/,skip-generic-size,skip,
food delivery packaging,150,0,1,greenpak.supplies,6,https://greenpak.supplies/,deli-pots,1,/categories/cold-food-and-salads/deli-containers
hot food packaging,150,0,1,greenpak.supplies,2,https://greenpak.supplies/category/hot-food-packaging/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
blue wipes,100,0,1,greenpak.supplies,10,https://greenpak.supplies/product/general-purpose-wipes-on-a-roll-blue/,skip-non-range,skip,
kraft ripple cups,100,0,1,greenpak.supplies,1,https://greenpak.supplies/product/8oz-kraft-ripple-cup/,coffee-cups,1,/categories/cups-and-accessories/hot-cups
premium burger box,100,0,1,greenpak.supplies,7,https://greenpak.supplies/product/premium-kraft-burger-box/,burger-boxes,2,(new page) burger boxes
clamshell boxes,100,0,1,greenpak.supplies,15,https://greenpak.supplies/category/hot-food-packaging/clamshell-boxes/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
take away food boxes,100,1,1,greenpak.supplies,11,https://greenpak.supplies/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
7 inch pizza box,100,0,1,greenpak.supplies,6,https://greenpak.supplies/product/7-kraft-pizza-box/,pizza-boxes,1,/categories/food-containers/pizza-boxes
175ml glass,100,0,1,greenpak.supplies,11,https://greenpak.supplies/Shop,skip-plastic-partyware,skip,
wrap box,100,1,1,greenpak.supplies,3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
slim jim glass,100,0,1,greenpak.supplies,4,https://greenpak.supplies/product/12-5oz-355ml-plastic-hi-ball-glass/,skip-plastic-partyware,skip,
takeaway food box,100,2,1,greenpak.supplies,11,https://greenpak.supplies/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
take away food packaging,100,0,1,greenpak.supplies,3,https://greenpak.supplies/,eco-packaging-generic,1,homepage / /shop (site-level head terms)
red mop,100,0,1,greenpak.supplies,5,https://greenpak.supplies/product/screw-in-socket-mop-head-red/,skip-non-range,skip,
baguette box,100,0,1,greenpak.supplies,2,https://greenpak.supplies/product/kraft-baguette-box/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
kentucky mop handle,100,0,1,greenpak.supplies,10,https://greenpak.supplies/product/kentucky-mop-handle-with-clips/,skip-non-range,skip,
chicken and chips box,100,0,1,greenpak.supplies,5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,chicken-boxes,3,(new range) chicken boxes & buckets
kraft tray,100,0,1,greenpak.supplies,8,https://greenpak.supplies/product/compostable-kraft-chip-tray/,food-trays,2,(new page) food trays (microflute + folded board)
chip boxes,100,0,1,greenpak.supplies,9,https://greenpak.supplies/product/medium-corrugated-newsprint-fish-and-chip-box/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
packaging for wraps,100,0,1,greenpak.supplies,1,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
tortilla wrap box,100,0,1,greenpak.supplies,3,https://greenpak.supplies/category/cold-food-packaging/sandwich-and-wrap-boxes/,sandwich-wrap-boxes,1,/categories/cold-food-and-salads/sandwich-and-wrap-boxes
plastic soup containers,100,0,1,greenpak.supplies,9,https://greenpak.supplies/category/hot-food-packaging/soup-containers-lids/,skip-plastic-partyware,skip,
bagasse burger box,100,0,1,greenpak.supplies,2,https://greenpak.supplies/product/bagasse-burger-box-6-x-6/,burger-boxes,2,(new page) burger boxes
plastic half pint glasses,100,0,1,greenpak.supplies,11,https://greenpak.supplies/category/cups-accessories/pint-half-pint-glasses/,skip-plastic-partyware,skip,
chip trays,100,0,1,greenpak.supplies,4,https://greenpak.supplies/product/compostable-kraft-chip-tray/,fish-chip-boxes,2,(new page) fish & chip boxes + chip trays
food boats,100,0,1,greenpak.supplies,8,https://greenpak.supplies/product/medium-wooden-food-boat-170mm/,skip-non-range,skip,
16oz plastic cups,90,0,1,greenpak.supplies,7,https://greenpak.supplies/product/16oz-clear-pet-smoothie-cup/,skip-plastic-partyware,skip,
kraft platter box,90,0,1,greenpak.supplies,8,https://greenpak.supplies/product/large-kraft-platter-box-insert/,platters-catering,2,(new page) platter boxes & catering trays
4oz cup,90,0,1,greenpak.supplies,9,https://greenpak.supplies/product/4oz-single-wall-white-paper-cup/,skip-generic-size,skip,
food takeaway boxes,90,1,1,greenpak.supplies,4,https://greenpak.supplies/,takeaway-food-boxes,1,/categories/food-containers/takeaway-boxes
chicken boxes,90,0,1,greenpak.supplies,5,https://greenpak.supplies/category/hot-food-packaging/chicken-boxes/,chicken-boxes,3,(new range) chicken boxes & buckets
black cocktail napkins,90,0,1,greenpak.supplies,8,https://greenpak.supplies/product/24cm-2-ply-black-cocktail-napkin/,napkins,1,/categories/tableware/napkins
